Date;Open;High;Low;Close
05.07.2018;6599.709961;6749.540039;6546.649902;6639.140137
06.07.2018;6638.689941;6700.939941;6533.549805;6673.500000
07.07.2018;6668.709961;6863.990234;6579.240234;6856.930176
08.07.2018;6857.799805;6885.910156;6747.979980;6773.879883
09.07.2018;6775.080078;6838.680176;6724.339844;6741.750000
10.07.2018;6739.209961;6767.740234;6320.720215;6329.950195
11.07.2018;6330.770020;6444.959961;6330.470215;6394.709961
12.07.2018;6396.779785;6397.100098;6136.419922;6228.810059
13.07.2018;6235.029785;6310.549805;6192.240234;6238.049805
14.07.2018;6247.500000;6298.189941;6212.220215;6276.120117
15.07.2018;6272.700195;6403.459961;6256.509766;6359.640137
16.07.2018;6357.009766;6741.750000;6357.009766;6741.750000
17.07.2018;6739.649902;7387.240234;6684.169922;7321.040039
18.07.2018;7315.319824;7534.990234;7280.470215;7370.779785
19.07.2018;7378.200195;7494.459961;7295.459961;7466.859863
20.07.2018;7467.399902;7594.669922;7323.259766;7354.129883
21.07.2018;7352.720215;7437.640137;7262.410156;7419.290039
22.07.2018;7417.799805;7537.950195;7383.819824;7418.490234
23.07.2018;7414.709961;7771.500000;7409.100098;7711.109863
24.07.2018;7716.509766;8424.269531;7705.500000;8424.269531
25.07.2018;8379.660156;8416.870117;8086.359863;8181.390137
26.07.2018;8176.850098;8290.330078;7878.709961;7951.580078
27.07.2018;7950.399902;8262.660156;7839.759766;8165.009766
28.07.2018;8169.060059;8222.849609;8110.770020;8192.150391
29.07.2018;8205.820313;8272.259766;8141.180176;8218.459961
30.07.2018;8221.580078;8235.500000;7917.500000;8180.479980
31.07.2018;8181.200195;8181.529785;7696.930176;7780.439941
01.08.2018;7769.040039;7769.040039;7504.950195;7624.910156
02.08.2018;7634.189941;7712.770020;7523.439941;7567.149902
03.08.2018;7562.140137;7562.140137;7328.649902;7434.390137
04.08.2018;7438.669922;7497.490234;6984.069824;7032.850098
05.08.2018;7031.080078;7102.770020;6940.700195;7068.479980
06.08.2018;7062.939941;7166.549805;6890.540039;6951.799805
07.08.2018;6958.319824;7146.560059;6748.240234;6753.120117
